num_people,reservation_time,name,dine_time,meal_split,status
2,270,Viggo Mortensen,20,10:20:20:40:10,CONFIRMED
4,270,Will Ferrell,20,10:20:20:40:10,CONFIRMED
4,270,Xzibit,20,10:20:20:40:10,CONFIRMED
2,300,Yvonne Strahovski,20,10:20:20:40:10,CONFIRMED
2,300,Zachary Levi,20,10:20:20:40:10,CONFIRMED
2,300,Adam Driver,20,10:20:20:40:10,CONFIRMED
2,300,Ben Kingsley,20,10:20:20:40:10,CONFIRMED
2,300,Channing Tatum,20,10:20:20:40:10,CONFIRMED
2,300,Dakota Fanning,20,10:20:20:40:10,CONFIRMED
2,300,Emily Blunt,20,10:20:20:40:10,CONFIRMED
2,300,Felicity Jones,20,10:20:20:40:10,CONFIRMED
4,300,Gal Gadot,20,10:20:20:40:10,CONFIRMED
4,300,Hugh Grant,20,10:20:20:40:10,CONFIRMED
